市场,代码,名称
上海,000566,海南海药
上海,000567,海德股份
上海,000568,泸州老窖
上海,000570,苏常柴Ａ
上海,000571,新大洲A
上海,000572,海马汽车
上海,000573,粤宏远Ａ
上海,000576,甘化科工
上海,000581,威孚高科
上海,000582,北部湾港
上海,000586,汇源通信
上海,000589,贵州轮胎
上海,000590,启迪药业
上海,000591,太阳能
上海,000592,平潭发展
上海,000593,德龙汇能
上海,000595,宝塔实业
上海,000596,古井贡酒
上海,000597,东北制药
上海,000598,兴蓉环境
上海,000599,青岛双星
上海,000600,建投能源
上海,000601,韶能股份
上海,000603,盛达资源
上海,000605,渤海股份
上海,000607,华媒控股
上海,000608,阳光股份
上海,000610,西安旅游
上海,000612,焦作万方
上海,000617,中油资本
上海,000619,海螺新材
上海,000620,新华联
上海,000623,吉林敖东
上海,000625,长安汽车
上海,000626,远大控股
上海,000627,天茂集团
上海,000628,高新发展
上海,000629,钒钛股份
上海,000630,铜陵有色
上海,000631,顺发恒业
上海,000632,三木集团
上海,000633,合金投资
上海,000635,英 力 特
上海,000636,风华高科
上海,000637,茂化实华
上海,000638,万方发展
上海,000639,西王食品
上海,000650,仁和药业
上海,000651,格力电器
上海,000652,泰达股份
上海,000655,金岭矿业
上海,000657,中钨高新
上海,000659,珠海中富
上海,000661,长春高新
上海,000663,永安林业
上海,000665,湖北广电
上海,000668,荣丰控股
上海,000670,盈方微
上海,000672,上峰水泥
上海,000676,智度股份
上海,000677,恒天海龙
上海,000678,襄阳轴承
上海,000679,大连友谊
上海,000680,山推股份
上海,000681,视觉中国
上海,000682,东方电子
上海,000683,远兴能源
上海,000685,中山公用
上海,000686,东北证券
上海,000688,国城矿业
上海,000690,宝新能源
上海,000691,亚太实业
上海,000692,惠天热电
上海,000695,滨海能源
上海,000697,炼石航空
上海,000698,沈阳化工
上海,000700,模塑科技
上海,000701,厦门信达
上海,000702,正虹科技
上海,000703,恒逸石化
上海,000705,浙江震元
上海,000707,双环科技
上海,000708,中信特钢
上海,000709,河钢股份
上海,000710,贝瑞基因
上海,000712,锦龙股份
上海,000713,丰乐种业
上海,000715,中兴商业
上海,000716,黑芝麻
上海,000717,中南股份
上海,000718,苏宁环球
上海,000719,中原传媒
上海,000720,新能泰山
上海,000721,西安饮食
上海,000722,湖南发展
上海,000723,美锦能源
上海,000725,京东方Ａ
上海,000726,鲁 泰Ａ
上海,000727,冠捷科技
上海,000728,国元证券
上海,000729,燕京啤酒
上海,000731,四川美丰
上海,000733,振华科技
上海,000735,罗 牛 山
上海,000737,北方铜业
上海,000738,航发控制
上海,000739,普洛药业
上海,000750,国海证券
上海,000751,锌业股份
上海,000753,漳州发展
上海,000755,山西高速
上海,000756,新华制药
上海,000757,浩物股份
上海,000758,中色股份
上海,000759,中百集团
上海,000761,本钢板材
上海,000762,西藏矿业
上海,000766,通化金马
上海,000767,晋控电力
上海,000768,中航西飞
上海,000776,广发证券
上海,000777,中核科技
上海,000778,新兴铸管
上海,000779,甘咨询
上海,000782,恒申新材
上海,000783,长江证券
上海,000785,居然智家
上海,000786,北新建材
上海,000788,北大医药
上海,000789,万年青
上海,000790,华神科技
上海,000791,甘肃能源
上海,000792,盐湖股份
上海,000795,英洛华
上海,000796,凯撒旅业
上海,000797,中国武夷
上海,000798,中水渔业
上海,000799,酒鬼酒
上海,000800,一汽解放
上海,000801,四川九洲
上海,000802,北京文化
上海,000803,山高环能
上海,000807,云铝股份
上海,000810,创维数字
上海,000811,冰轮环境
上海,000812,陕西金叶
上海,000813,德展健康
上海,000815,美利云
上海,000816,智慧农业
上海,000818,航锦科技
上海,000819,岳阳兴长
上海,000820,神雾节能
上海,000821,京山轻机
上海,000822,山东海化
上海,000823,超声电子
上海,000825,太钢不锈
上海,000826,启迪环境
上海,000828,东莞控股
上海,000829,天音控股
上海,000830,鲁西化工
上海,000831,中国稀土
上海,000833,粤桂股份
上海,000837,秦川机床
上海,000838,财信发展
上海,000839,中信国安
上海,000848,承德露露
上海,000850,华茂股份
上海,000852,石化机械
上海,000856,冀东装备
上海,000858,五 粮 液
上海,000859,国风新材
上海,000860,顺鑫农业
上海,000862,银星能源
上海,000863,三湘印象
上海,000868,安凯客车
上海,000869,张 裕Ａ
上海,000875,吉电股份
上海,000876,新 希 望
上海,000877,天山股份
上海,000878,云南铜业
上海,000880,潍柴重机
上海,000881,中广核技
上海,000882,华联股份
上海,000883,湖北能源
上海,000885,城发环境
上海,000886,海南高速
上海,000887,中鼎股份
上海,000888,峨眉山Ａ
上海,000890,法尔胜
上海,000892,欢瑞世纪
上海,000893,亚钾国际
上海,000895,双汇发展
上海,000897,津滨发展
上海,000898,鞍钢股份
上海,000899,赣能股份
上海,000900,现代投资
上海,000901,航天科技
上海,000902,新洋丰
上海,000903,云内动力
上海,000905,厦门港务
上海,000906,浙商中拓
上海,000910,大亚圣象
上海,000911,广农糖业
上海,000912,泸天化
上海,000913,钱江摩托
上海,000915,华特达因
上海,000917,电广传媒
上海,000919,金陵药业
上海,000920,沃顿科技
上海,000921,海信家电
上海,000922,佳电股份
上海,000923,河钢资源
上海,000925,众合科技
上海,000926,福星股份
上海,000927,中国铁物
上海,000928,中钢国际
上海,000929,兰州黄河
上海,000930,中粮科技
上海,000931,中 关 村
上海,000932,华菱钢铁
上海,000933,神火股份
上海,000935,四川双马
上海,000936,华西股份
上海,000937,冀中能源
上海,000938,紫光股份
上海,000948,南天信息
上海,000949,新乡化纤
上海,000950,重药控股
上海,000951,中国重汽
上海,000952,广济药业
上海,000953,河化股份
上海,000955,欣龙控股
上海,000957,中通客车
上海,000958,电投产融
上海,000959,首钢股份
上海,000960,锡业股份
上海,000962,东方钽业
上海,000963,华东医药
上海,000965,天保基建
上海,000966,长源电力
上海,000967,盈峰环境
上海,000968,蓝焰控股
上海,000969,安泰科技
上海,000970,中科三环
上海,000973,佛塑科技
上海,000975,山金国际
上海,000977,浪潮信息
上海,000978,桂林旅游
上海,000980,众泰汽车
上海,000981,山子高科
上海,000983,山西焦煤
上海,000985,大庆华科
上海,000987,越秀资本
上海,000988,华工科技
上海,000990,诚志股份
上海,000993,闽东电力
上海,000995,皇台酒业
上海,000997,新 大 陆
上海,000998,隆平高科
上海,000999,华润三九
上海,001201,东瑞股份
上海,001202,炬申股份
上海,001203,大中矿业
上海,001205,盛航股份
上海,001206,依依股份
上海,001207,联科科技
上海,001208,华菱线缆
上海,001209,洪兴股份
上海,001210,金房能源
上海,001211,双枪科技
上海,001212,中旗新材
上海,001213,中铁特货
上海,001215,千味央厨
上海,001216,华瓷股份
上海,001217,华尔泰
上海,001218,丽臣实业
上海,001219,青岛食品
上海,001222,源飞宠物
上海,001223,欧克科技
上海,001225,和泰机电
上海,001226,拓山重工
上海,001227,兰州银行
上海,001228,永泰运
上海,001229,魅视科技
上海,001230,劲旅环境
上海,001231,农心科技
上海,001234,泰慕士
上海,001236,弘业期货
上海,001238,浙江正特
上海,001239,永达股份
上海,001255,博菲电气
上海,001256,炜冈科技
上海,001258,立新能源
上海,001259,利仁科技
上海,001260,坤泰股份
上海,001266,宏英智能
上海,001267,汇绿生态
上海,001268,联合精密
上海,001269,欧晶科技
上海,001270,铖昌科技
上海,001277,速达股份
上海,001278,一彬科技
上海,001279,强邦新材
上海,001282,三联锻造
上海,001283,豪鹏科技
上海,001286,陕西能源
上海,001287,中电港
上海,001288,运机集团
上海,001289,龙源电力
上海,001296,长江材料
上海,001298,好上好
上海,001299,美能能源
上海,001300,三柏硕
上海,001301,尚太科技
上海,001306,夏厦精密
上海,001308,康冠科技
上海,001309,德明利
上海,001311,多利科技
上海,001313,粤海饲料
上海,001314,亿道信息
上海,001316,润贝航科
上海,001317,三羊马
上海,001318,阳光乳业
上海,001319,铭科精技
上海,001322,箭牌家居
上海,001323,慕思股份
上海,001324,长青科技
上海,001326,联域股份
上海,001328,登康口腔
上海,001330,博纳影业
上海,001331,胜通能源
上海,001332,锡装股份
上海,001333,光华股份
上海,001335,C信凯
上海,001336,楚环科技
上海,001337,四川黄金
上海,001338,永顺泰
上海,001339,智微智能
上海,001356,富岭股份
上海,001358,兴欣新材
上海,001359,平安电工
上海,001360,南矿集团
上海,001366,播恩集团
上海,001367,海森药业
上海,001368,通达创智
上海,001373,翔腾新材
上海,001376,百通能源
上海,001378,德冠新材
上海,001379,腾达科技
上海,001380,华纬科技
上海,001382,新亚电缆
上海,001387,雪祺电气
上海,001389,广合科技
上海,001391,国货航
上海,001395,亚联机械
上海,001696,宗申动力
上海,001872,招商港口
上海,001896,豫能控股
上海,001914,招商积余
上海,001965,招商公路
上海,001979,招商蛇口
上海,002001,新 和 成
上海,002003,伟星股份
上海,002004,华邦健康
上海,002006,精工科技
上海,002007,华兰生物
上海,002008,大族激光
上海,002009,天奇股份
上海,002010,传化智联
上海,002011,盾安环境
上海,002012,凯恩股份
上海,002014,永新股份
上海,002015,协鑫能科
上海,002016,世荣兆业
上海,002017,东信和平
上海,002019,亿帆医药
上海,002020,京新药业
上海,002021,中捷资源
上海,002022,科华生物
上海,002023,海特高新
上海,002025,航天电器
上海,002026,山东威达
上海,002027,分众传媒
上海,002028,思源电气
上海,002029,七 匹 狼
上海,002030,达安基因
上海,002031,巨轮智能
上海,002032,苏 泊 尔
上海,002033,丽江股份
上海,002034,旺能环境
上海,002035,华帝股份
上海,002036,联创电子
上海,002037,保利联合
上海,002038,双鹭药业
上海,002039,黔源电力
上海,002040,南 京 港
上海,002041,登海种业
上海,002042,华孚时尚
上海,002043,兔 宝 宝
上海,002044,美年健康
上海,002045,国光电器
上海,002046,国机精工
上海,002047,宝鹰股份
上海,002048,宁波华翔
上海,002049,紫光国微
上海,002050,三花智控
上海,002051,中工国际
上海,002053,云南能投
上海,002054,德美化工
上海,002055,得润电子
上海,002056,横店东磁
上海,002057,中钢天源
上海,002058,威尔泰
上海,002059,云南旅游
上海,002060,广东建工
上海,002061,浙江交科
上海,002062,宏润建设
上海,002063,远光软件
上海,002064,华峰化学
上海,002065,东华软件
上海,002066,瑞泰科技
上海,002067,景兴纸业
上海,002068,黑猫股份
上海,002069,獐子岛
上海,002072,凯瑞德
上海,002073,软控股份
上海,002074,国轩高科
上海,002075,沙钢股份
上海,002076,星光股份
上海,002077,大港股份
上海,002078,太阳纸业
上海,002079,苏州固锝
上海,002080,中材科技
上海,002081,金 螳 螂
上海,002082,万邦德
上海,002083,孚日股份
上海,002084,海鸥住工
上海,002085,万丰奥威
上海,002086,东方海洋
上海,002088,鲁阳节能
上海,002090,金智科技
上海,002091,江苏国泰
上海,002093,国脉科技
上海,002094,青岛金王
上海,002095,生 意 宝
上海,002096,易普力
上海,002097,山河智能
上海,002098,浔兴股份
上海,002099,海翔药业
上海,002100,天康生物
上海,002101,广东鸿图
上海,002102,能特科技
上海,002103,广博股份
上海,002104,恒宝股份
上海,002105,信隆健康
